ENSRNOG00000003029	ENSRNOG00000001129
ENSRNOG00000003049	ENSRNOG00000001849
ENSRNOG00000003117	ENSRNOG00000001129
ENSRNOG00000003125	ENSRNOG00000001849
ENSRNOG00000003147	ENSRNOG00000001679
ENSRNOG00000003149	ENSRNOG00000001849
ENSRNOG00000003150	ENSRNOG00000000805
ENSRNOG00000003183	ENSRNOG00000000805
ENSRNOG00000003195	ENSRNOG00000001849
ENSRNOG00000003201	ENSRNOG00000000805
ENSRNOG00000003201	ENSRNOG00000001142
ENSRNOG00000003201	ENSRNOG00000001849
ENSRNOG00000003217	ENSRNOG00000000805
ENSRNOG00000003280	ENSRNOG00000002767
ENSRNOG00000003330	ENSRNOG00000000805
ENSRNOG00000003330	ENSRNOG00000001849
ENSRNOG00000003399	ENSRNOG00000000805
ENSRNOG00000003399	ENSRNOG00000001142
ENSRNOG00000003469	ENSRNOG00000001849
ENSRNOG00000003491	ENSRNOG00000000805
ENSRNOG00000003491	ENSRNOG00000001136
ENSRNOG00000003491	ENSRNOG00000001849
ENSRNOG00000003491	ENSRNOG00000003147
ENSRNOG00000003520	ENSRNOG00000000805
ENSRNOG00000003537	ENSRNOG00000000805
ENSRNOG00000003546	ENSRNOG00000001068
ENSRNOG00000003563	ENSRNOG00000001129
ENSRNOG00000003597	ENSRNOG00000000805
ENSRNOG00000003626	ENSRNOG00000000805
ENSRNOG00000003689	ENSRNOG00000001142
ENSRNOG00000003743	ENSRNOG00000000805
ENSRNOG00000003743	ENSRNOG00000001129
ENSRNOG00000003743	ENSRNOG00000001142
ENSRNOG00000003872	ENSRNOG00000003147
ENSRNOG00000003897	ENSRNOG00000001129
ENSRNOG00000003951	ENSRNOG00000001142
ENSRNOG00000003951	ENSRNOG00000001489
ENSRNOG00000003951	ENSRNOG00000001849
ENSRNOG00000003975	ENSRNOG00000000805
ENSRNOG00000004027	ENSRNOG00000000805
ENSRNOG00000004048	ENSRNOG00000003147
ENSRNOG00000004049	ENSRNOG00000002767
ENSRNOG00000004060	ENSRNOG00000000007
ENSRNOG00000004060	ENSRNOG00000000579
ENSRNOG00000004060	ENSRNOG00000000805
ENSRNOG00000004060	ENSRNOG00000001130
ENSRNOG00000004060	ENSRNOG00000001152
ENSRNOG00000004060	ENSRNOG00000001302
ENSRNOG00000004060	ENSRNOG00000001309
ENSRNOG00000004060	ENSRNOG00000001368
ENSRNOG00000004060	ENSRNOG00000003683
ENSRNOG00000004060	ENSRNOG00000004026
ENSRNOG00000004072	ENSRNOG00000001142
ENSRNOG00000004078	ENSRNOG00000000805
ENSRNOG00000004094	ENSRNOG00000002525
ENSRNOG00000004107	ENSRNOG00000000805
ENSRNOG00000004107	ENSRNOG00000001142
ENSRNOG00000004165	ENSRNOG00000001130
ENSRNOG00000004172	ENSRNOG00000001849
ENSRNOG00000004214	ENSRNOG00000001142
ENSRNOG00000004214	ENSRNOG00000001849
ENSRNOG00000004291	ENSRNOG00000000805
ENSRNOG00000004291	ENSRNOG00000001129
ENSRNOG00000004291	ENSRNOG00000001142
ENSRNOG00000004291	ENSRNOG00000003242
