ENSRNOP00000014785	ENSRNOP00000001054
ENSRNOP00000015102	ENSRNOP00000001054
ENSRNOP00000015179	ENSRNOP00000001054
ENSRNOP00000015475	ENSRNOP00000001054
ENSRNOP00000015609	ENSRNOP00000001508
ENSRNOP00000015913	ENSRNOP00000001054
ENSRNOP00000015913	ENSRNOP00000001508
ENSRNOP00000015956	ENSRNOP00000001054
ENSRNOP00000016442	ENSRNOP00000001054
ENSRNOP00000016442	ENSRNOP00000001500
ENSRNOP00000016442	ENSRNOP00000008416
ENSRNOP00000016450	ENSRNOP00000000477
ENSRNOP00000016947	ENSRNOP00000001054
ENSRNOP00000017065	ENSRNOP00000001054
ENSRNOP00000017317	ENSRNOP00000006783
ENSRNOP00000017322	ENSRNOP00000004602
ENSRNOP00000017686	ENSRNOP00000001054
ENSRNOP00000017965	ENSRNOP00000001054
ENSRNOP00000017965	ENSRNOP00000001508
ENSRNOP00000018025	ENSRNOP00000000011
ENSRNOP00000018025	ENSRNOP00000000299
ENSRNOP00000018025	ENSRNOP00000000658
ENSRNOP00000018025	ENSRNOP00000002198
ENSRNOP00000018025	ENSRNOP00000002520
ENSRNOP00000018025	ENSRNOP00000002524
ENSRNOP00000018025	ENSRNOP00000003106
ENSRNOP00000018025	ENSRNOP00000003282
ENSRNOP00000018025	ENSRNOP00000003397
ENSRNOP00000018025	ENSRNOP00000003965
ENSRNOP00000018025	ENSRNOP00000004570
ENSRNOP00000018025	ENSRNOP00000004797
ENSRNOP00000018025	ENSRNOP00000006302
ENSRNOP00000018025	ENSRNOP00000007003
ENSRNOP00000018025	ENSRNOP00000007558
ENSRNOP00000018025	ENSRNOP00000007583
ENSRNOP00000018025	ENSRNOP00000007738
ENSRNOP00000018025	ENSRNOP00000009726
ENSRNOP00000018025	ENSRNOP00000009923
ENSRNOP00000018025	ENSRNOP00000010158
ENSRNOP00000018025	ENSRNOP00000011052
ENSRNOP00000018025	ENSRNOP00000011930
ENSRNOP00000018025	ENSRNOP00000012075
ENSRNOP00000018025	ENSRNOP00000012311
ENSRNOP00000018025	ENSRNOP00000012346
ENSRNOP00000018025	ENSRNOP00000012376
ENSRNOP00000018025	ENSRNOP00000012440
ENSRNOP00000018025	ENSRNOP00000012734
ENSRNOP00000018025	ENSRNOP00000013552
ENSRNOP00000018025	ENSRNOP00000014441
