Gene stable ID	Transcript stable ID	Protein stable ID	Gene name	NCBI gene (formerly Entrezgene) ID
YLR160C	YLR160C_mRNA	YLR160C	ASP3-4	850850
YIL047C	YIL047C_mRNA	YIL047C	SYG1	854764
YBL039C-A	YBL039C-A_mRNA	YBL039C-A		
YOR061W	YOR061W_mRNA	YOR061W	CKA2	854227
YJR005C-A	YJR005C-A_mRNA	YJR005C-A	LSO1	1466469
YLR352W	YLR352W_mRNA	YLR352W		851066
YDR068W	YDR068W_mRNA	YDR068W	DOS2	851640
tS(GCU)O	tS(GCU)O_tRNA			
YJL128C	YJL128C_mRNA	YJL128C	PBS2	853313
YPL228W	YPL228W_mRNA	YPL228W	CET1	855873
YML036W	YML036W_mRNA	YML036W	CGI121	854972
YKL114C	YKL114C_mRNA	YKL114C	APN1	853746
YDR078C	YDR078C_mRNA	YDR078C	SHU2	851650
snR7-L	snR7-L_snRNA			
YCR105W	YCR105W_mRNA	YCR105W	ADH7	850469
YJR083C	YJR083C_mRNA	YJR083C	ACF4	853545
YDR248C	YDR248C_mRNA	YDR248C		851835
snR82	snR82_snoRNA			
YPL199C	YPL199C_mRNA	YPL199C		855902
YNL136W	YNL136W_mRNA	YNL136W	EAF7	855586
YLL045C	YLL045C_mRNA	YLL045C	RPL8B	850682
YOR316C-A	YOR316C-A_mRNA	YOR316C-A		1466487
YNL264C	YNL264C_mRNA	YNL264C	PDR17	855457
YLR320W	YLR320W_mRNA	YLR320W	MMS22	851030
YBR028C	YBR028C_mRNA	YBR028C	YPK3	852316
YKL098W	YKL098W_mRNA	YKL098W	MTC2	853763
YBR063C	YBR063C_mRNA	YBR063C		852356
YJL052C-A	YJL052C-A_mRNA	YJL052C-A		853394
YPR060C	YPR060C_mRNA	YPR060C	ARO7	856173
YLL013C	YLL013C_mRNA	YLL013C	PUF3	850647
YKR067W	YKR067W_mRNA	YKR067W	GPT2	853941
YLR040C	YLR040C_mRNA	YLR040C	AFB1	850730
YMR093W	YMR093W_mRNA	YMR093W	UTP15	855118
YIL058W	YIL058W_mRNA	YIL058W		
YHR136C	YHR136C_mRNA	YHR136C	SPL2	856538
YBR078W	YBR078W_mRNA	YBR078W	ECM33	852370
YCL054W	YCL054W_mRNA	YCL054W	SPB1	850304
YIL072W	YIL072W_mRNA	YIL072W	HOP1	854738
YOR231C-A	YOR231C-A_mRNA	YOR231C-A		
YCR016W	YCR016W_mRNA	YCR016W		850375
YEL020C	YEL020C_mRNA	YEL020C	PXP1	856694
YPL025C	YPL025C_mRNA	YPL025C		
RDN58-2	RDN58-2_rRNA			
YDL136W	YDL136W_mRNA	YDL136W	RPL35B	851336
YDL136W	YDL136W_mRNA	YDL136W	RPL35B	851419
YBR211C	YBR211C_mRNA	YBR211C	AME1	852512
YJL077W-A	YJL077W-A_mRNA	YJL077W-A		13393612
YOR076C	YOR076C_mRNA	YOR076C	SKI7	854243
YDR104C	YDR104C_mRNA	YDR104C	SPO71	851681
YBR279W	YBR279W_mRNA	YBR279W	PAF1	852582
YLR067C	YLR067C_mRNA	YLR067C	PET309	850756
YHR219W	YHR219W_mRNA	YHR219W		856629
YGR249W	YGR249W_mRNA	YGR249W	MGA1	853164
YLR456W	YLR456W_mRNA	YLR456W		851178
YGR283C	YGR283C_mRNA	YGR283C		853200
YDL027C	YDL027C_mRNA	YDL027C	MRX9	851535
YKR023W	YKR023W_mRNA	YKR023W		853893
YGR028W	YGR028W_mRNA	YGR028W	MSP1	852915
YCL001W-A	YCL001W-A_mRNA	YCL001W-A		850355
YDR052C	YDR052C_mRNA	YDR052C	DBF4	851623
YFR035C	YFR035C_mRNA	YFR035C		850595
