Gene stable ID	RefSeq peptide ID
ENSDARG00000002582	
ENSDARG00000079727	NP_001340840
ENSDARG00000073948	NP_001099168
ENSDARG00000096528	NP_001107099
ENSDARG00000040321	NP_571301
ENSDARG00000094886	
ENSDARG00000088867	
ENSDARG00000096528	
ENSDARG00000036215	
ENSDARG00000039959	NP_571807
ENSDARG00000074617	
ENSDARG00000040321	
ENSDARG00000017905	NP_571952
ENSDARG00000070467	
ENSDARG00000086425	NP_991311
ENSDARG00000037473	NP_001313399
ENSDARG00000025554	NP_957010
ENSDARG00000013252	
ENSDARG00000061644	
ENSDARG00000061644	NP_001243660
ENSDARG00000086425	
ENSDARG00000078954	NP_571350
ENSDARG00000053194	
ENSDARG00000039123	NP_991126
ENSDARG00000070487	NP_001014389
ENSDARG00000094886	NP_001093569
ENSDARG00000062326	NP_001073502
ENSDARG00000002582	NP_001315362
ENSDARG00000079727	
ENSDARG00000103118	NP_001017681
ENSDARG00000045567	
ENSDARG00000025554	
ENSDARG00000030804	
ENSDARG00000062326	
ENSDARG00000103471	
ENSDARG00000022160	
ENSDARG00000045567	NP_001003566
ENSDARG00000041431	
ENSDARG00000071487	NP_001070073
ENSDARG00000012341	NP_001003501
ENSDARG00000091799	
ENSDARG00000105269	
ENSDARG00000103118	
ENSDARG00000070487	
ENSDARG00000035821	
ENSDARG00000104854	NP_001103412
ENSDARG00000005544	NP_001139053
ENSDARG00000071487	
ENSDARG00000061187	
ENSDARG00000037537	NP_001018459
ENSDARG00000104854	
ENSDARG00000075156	
ENSDARG00000005544	
ENSDARG00000035648	NP_991261
ENSDARG00000058022	NP_001035137
ENSDARG00000091954	
ENSDARG00000062111	
ENSDARG00000062965	NP_001161133
ENSDARG00000008678	NP_001032183
ENSDARG00000058022	
ENSDARG00000053884	
ENSDARG00000056757	
ENSDARG00000053884	NP_001268397
ENSDARG00000070013	NP_001073445
ENSDARG00000008678	
ENSDARG00000093116	
ENSDARG00000071074	
ENSDARG00000097155	NP_001071021
ENSDARG00000035507	
ENSDARG00000075456	
ENSDARG00000007169	NP_001032486
ENSDARG00000087032	
ENSDARG00000021163	
ENSDARG00000103713	NP_001092698
ENSDARG00000103713	
ENSDARG00000019207	NP_001116741
ENSDARG00000099773	NP_001122034
ENSDARG00000093665	
ENSDARG00000044298	NP_001003995
ENSDARG00000103057	NP_001352117
ENSDARG00000061120	
ENSDARG00000040254	NP_001002357
ENSDARG00000077686	
ENSDARG00000060062	
ENSDARG00000052088	
ENSDARG00000101300	
ENSDARG00000098144	
ENSDARG00000096757	
ENSDARG00000045832	NP_001017570
ENSDARG00000023645	NP_998524
ENSDARG00000089202	NP_001298722
